509;685;315;484;336
1145;1199;1380;1146;1296
1124;1178;1359;1125;1275
563;394;455;538;420
2062;2145;2212;2021;2135
2518;2694;2255;2493;2346
591;767;397;566;419
1156;1209;1390;1157;1307
2485;2661;2221;2459;2312
2062;2144;2211;2021;2135
871;1047;769;760;856
1131;1184;1366;1132;1282
495;671;301;470;322
892;881;1036;941;892
296;472;189;271;123
376;454;603;351;380
1117;1171;1352;1118;1269
2472;2648;2209;2447;2300
496;672;302;471;323
1434;1410;1808;1482;1585
2469;2645;2205;2444;2296
387;42;614;362;391
1338;1514;1109;1228;1207
639;815;446;614;467
2511;2687;2247;2486;2338
520;696;326;495;347
2442;2618;2178;2417;2269
1364;1540;1135;1254;1233
533;709;339;508;360
210;278;437;185;213
2796;2972;2291;2399;2623
231;407;236;205;58
506;682;312;481;333
429;146;745;493;522
462;389;321;437;267
202;378;229;176;29
2666;2842;2402;2640;2493
863;788;669;838;690
2707;2883;2443;2682;2534
285;461;406;175;289
1983;2160;1510;1617;1811
244;321;471;219;247
213;389;218;188;40
1526;1702;1424;1416;1512
1901;2077;1516;1652;1728
281;457;401;170;284
192;368;232;167;20
1036;1136;1221;1084;1187
599;706;864;648;750
438;155;755;503;532
503;679;286;478;330
101;317;388;113;164
470;397;328;445;275
623;799;405;513;492
83;298;369;94;146
511;578;785;559;662
468;395;322;443;273
318;396;545;293;322
88;304;375;100;151
507;573;780;555;658
613;718;375;588;440
469;396;328;444;274
575;648;768;534;648
394;176;711;385;487
470;432;288;445;297
626;737;363;601;454
295;298;522;270;299
125;281;352;100;129
1349;1335;1723;1397;1500
614;687;806;573;687
129;284;356;104;132
404;186;721;395;498
1577;1753;1229;1551;1404
1355;1342;1730;1404;1506
85;300;371;96;148
1588;1764;1325;1563;1416
617;690;810;576;690
430;147;747;495;523
725;848;990;774;876
192;181;419;167;196
564;618;828;612;715
98;313;384;109;161
610;683;802;569;683
215;391;283;105;219
709;842;973;757;860
309;363;684;358;460
2766;2942;2262;2369;2593
619;692;811;578;692
394;570;494;283;397
1244;1297;1479;1245;1395
534;502;340;508;361
711;785;904;670;784
2759;2935;2255;2362;2586
611;684;803;570;684
2531;2707;2267;2506;2358
551;605;816;600;703
665;841;642;554;668
565;638;758;524;638
517;693;570;407;521
579;632;843;627;730
2789;2965;2272;2380;2617
584;657;777;543;657
512;688;595;401;515
562;635;754;520;634
517;693;600;406;520
612;685;805;571;685
530;706;266;505;357
343;396;717;391;494
2772;2948;2255;2363;2600
441;495;816;490;593
713;889;494;602;582
617;690;810;576;690
880;1057;662;770;750
1399;1575;1181;1288;1268
2765;2941;2248;2356;2592
600;776;381;489;469
