ID;Name;Latitude / Longitude;Adresse;Storetype;;;
677747901;Heidkamp Pfeifenladen;6.787120/51.228012;None None;tobacco;;;
2291280562;W¸ster & Friends;6.776625/51.214701;None None;hairdresser;;;
4767969273;Optik Diermann;6.776964/51.214787;None None;optician;;;
2291280578;Parf¸merie Becker;6.776625/51.214871;None None;beauty;;;
4767969278;None;6.776934/51.214426;None None;vacant;;;
4999060054;OBI;6.702324/51.227456;Heerdter Landstraﬂe 239;doityourself;;;
3523292629;Bestattungen Schweden;6.774908/51.271072;None None;funeral_directors;;;
3523300728;Schˆnheit mit System;6.774311/51.269033;None None;beauty;;;
7023300897;Master Cartridge;6.780422/51.218539;H¸ttenstraﬂe 5;printer_ink;;;
4999077023;Harley-Davidson D¸sseldorf;6.712561/51.228695;Heesenstraﬂe 70;motorcycle;;;
7023300898;Care & Beauty Cosmetic;6.780361/51.218569;H¸ttenstraﬂe 5;beauty;;;
678879743;Butlers;6.780495/51.225420;Schadowstraﬂe 11;interior_decoration;;;
2291280601;Bestattungshaus Frankenheim;6.776633/51.214932;None None;funeral_directors;;;
2291280625;Galerie De Luxe;6.776638/51.214976;None None;jewelry;;;
3523326683;Bl¸mchen;6.774006/51.267847;None None;beauty;;;
4767987306;Maica;6.777009/51.217052;None None;beauty;;;
4999379321;Globetrotter;6.779479/51.220424;Kˆnigsallee 88;outdoor;;;
7023300900;None;6.780154/51.218684;H¸ttenstraﬂe 1;clothes;;;
4767988999;Your Grands COCO;6.777006/51.217178;None None;clothes;;;
678879750;Akia;6.795032/51.219296;None None;mobile_phone;;;
2291280651;None;6.776643/51.215198;None None;vacant;;;
3523326685;Schatztruhe;6.773998/51.267874;None None;second_hand;;;
678879751;Grauert Presse + Buch;6.794580/51.219590;None None;newsagent;;;
3523338697;None;6.774255/51.266835;None None;kiosk;;;
5003541332;Salonf‰hig;6.807988/51.229973;Ackerstraﬂe 181;hairdresser;;;
678879753;Le Crobag;6.794299/51.219636;None None;bakery;;;
2291280693;Tabac & Co;6.776639/51.215468;None None;kiosk;;;
4769136128;Restaurator antiker Mˆbel Meisterbetrieb;6.778519/51.213184;None None;antiques;;;
7040811884;Salon R & B;6.777031/51.204954;None None;hairdresser;;;
4769140631;Josef P. Werner;6.778819/51.213603;None None;art;;;
7040827585;Iga Kempka;6.777043/51.205064;None None;beauty;;;
5003567227;Autocentrum Ehreke;6.806838/51.230622;None None;car_repair;;;
3523349537;Frisˆr Andrea;6.775171/51.265529;None None;hairdresser;;;
5003758322;Moritz Wenz Studio;6.806717/51.229506;Ackerstraﬂe 155;gift;;;
681255302;Y Getr‰nkemarkt;6.821634/51.228816;None None;beverages;;;
3523349538;Studio Nord;6.775211/51.265397;None None;beauty;;;
7050439288;Schaumstoff Sch‰fer;6.793242/51.228741;Am Wehrhahn 63;interior_decoration;;;
2291280727;Wohnart;6.776343/51.215473;None None;interior_decoration;;;
4769140634;Strubbelpeter;6.779042/51.213849;None None;hairdresser;;;
685184443;None;6.860026/51.211846;None None;travel_agency;;;
4769140638;hautnah mit Hand und Fuﬂ;6.779146/51.214079;None None;beauty;;;
7058225722;Babymarkt;6.772773/51.203968;Aachener Straﬂe 70;clothes;;;
3523357699;Stil Bl¸te;6.775327/51.265093;None None;florist;;;
5003781722;LaVinesse;6.801779/51.228514;Lindenstraﬂe 77;wine;;;
687054448;≈ûen Market;6.784338/51.212115;Morsestraﬂe 4;supermarket;;;
2291309107;Ohren;6.776034/51.218333;Graf-Adolf-Platz 4;optician;;;
4769140639;Blumen Honisch;6.779224/51.214078;None None;florist;;;
2291324001;Combination Haut & Haar;6.775487/51.214225;None None;hairdresser;;;
3523372315;None;6.774999/51.264469;None None;kiosk;;;
687054449;Kamps;6.785033/51.212265;Kirchfeldstraﬂe 141;bakery;;;
2291676829;None;6.775845/51.213743;None None;florist;;;
5008032823;Chicken Crime Department;6.805809/51.229481;Ackerstraﬂe 142;convenience;;;
7058225724;Theisen;6.772846/51.204063;Aachener Straﬂe 62;newsagent;;;
687057000;Terbuyken;6.786634/51.214648;H¸ttenstraﬂe 65;bakery;;;
3523375934;None;6.775481/51.264556;None None;dry_cleaning;;;
4769548841;Bernini;6.774283/51.224590;Wallstraﬂe 29b;shoes;;;
5009771521;Norman Icking;6.807160/51.229928;Hermannstraﬂe 23;clothes;;;
2291676830;None;6.776204/51.213742;None None;greengrocer;;;
7062760382;Blumen Hoesen;6.721316/51.232491;Nikolaus-Knopp-Platz 28;florist;;;
3524135223;Alnatura;6.850742/51.243505;Am Wildpark 2a;supermarket;;;
2291722072;None;6.766127/51.214274;None None;interior_decoration;;;
4773466767;Ingo's Tatoos;6.763971/51.214944;None None;tattoo;;;
2291722073;Der Kiosk Schnell & Freundlich;6.766208/51.214346;None None;kiosk;;;
3528652190;None;6.743036/51.299469;Alte Landstraﬂe 179v;books;;;
7067047977;S√òR;6.780207/51.223145;None None;clothes;;;
695746608;Bˆlter;6.874154/51.163814;Hauptstraﬂe 1;optician;;;
5009775521;Naturburschen Flingern;6.810910/51.226998;Birkenstraﬂe 149;convenience;;;
4773467026;Berwanger Malerwekst‰tte GmbH;6.765158/51.216826;None None;art;;;
7067529661;Kr‰uterhexe;6.773340/51.223406;Carlsplatz C;spices;;;
369377188;None;6.862010/51.236017;None None;butcher;;;
1306887053;Rossmann;6.862689/51.225375;Heyestraﬂe 128;chemist;;;
3084864505;KIA;6.824109/51.223215;None None;car;;;
5565092037;Pressepavilion Eisele;6.778639/51.225709;None None;newsagent;;;
7071793483;D&H Jewellery;6.786709/51.223317;Oststraﬂe 89;jewelry;;;
5567690622;Kosmetikstudio Biana;6.781940/51.210740;Bilker Allee 237;beauty;;;
381284877;Trinkhalle;6.885552/51.163760;Rheinstahlstraﬂe 17;kiosk;;;
3086242560;Fresh Asia;6.788179/51.222297;None None;supermarket;;;
1306887058;Rossmann;6.804798/51.215003;Kˆlner Straﬂe 228;chemist;;;
3107396440;Multiton Elektronik GmbH;6.781701/51.243110;Roﬂstraﬂe 11;electronics;;;
5578486528;Platten Parf¸merie;6.818946/51.187237;Kˆlner Landstraﬂe 194;chemist;;;
7078195585;ANMO;6.790901/51.223440;None None;beverages;;;
382299958;Hairstyle by Lu;6.882235/51.164182;Paulsm¸hlenstraﬂe 42;hairdresser;;;
7096049312;Moderne ƒnderungsschneiderei;6.777402/51.217762;None None;tailor;;;
1306887064;Rossmann;6.795643/51.282317;Volkardeyer Weg 12;chemist;;;
3122883030;Freund;6.812865/51.216427;Fichtenstraﬂe 44;car;;;
5591726627;Blumen Klinghammer;6.783427/51.237830;Marschallstraﬂe 46;florist;;;
382358837;None;6.877226/51.161257;None None;electronics;;;
